"dates","global_plus_dvd_revenue","netflix_streaming_membership","quarter_label","year","region","streaming_revenue","members","arpu","streaming_revenue_growth_rate","membership_growth_rate","arpu_growth_rate","streaming_revenue_growth_rate_formatted","membership_growth_rate_formatted","arpu_growth_rate_formatted"
2019-03-31,4520992000,148863000,"Q1","2019","ucan",2256851000,66633000,11.45,NA,NA,NA,"NA%","NA%","NA%"
2019-03-31,4520992000,148863000,"Q1","2019","emea",1233379000,42542000,10.23,NA,NA,NA,"NA%","NA%","NA%"
2019-03-31,4520992000,148863000,"Q1","2019","latm",630472000,27547000,7.84,NA,NA,NA,"NA%","NA%","NA%"
2019-03-31,4520992000,148863000,"Q1","2019","apac",319602000,12141000,9.37,NA,NA,NA,"NA%","NA%","NA%"
2019-06-30,4923116000,151562000,"Q2","2019","ucan",2501199000,66501000,12.52,10.8269442688064,-0.198100040520463,9.34497816593887,"10.83%","-0.20%","9.34%"
2019-06-30,4923116000,151562000,"Q2","2019","emea",1319087000,44229000,10.13,6.94903999500559,3.96549292463918,-0.977517106549361,"6.95%","3.97%","-0.98%"
2019-06-30,4923116000,151562000,"Q2","2019","latm",677136000,27890000,8.14,7.40143892195054,1.24514466185066,3.82653061224491,"7.40%","1.25%","3.83%"
2019-06-30,4923116000,151562000,"Q2","2019","apac",349494000,12942000,9.29,9.35288264779319,6.59747961452928,-0.853788687299894,"9.35%","6.60%","-0.85%"
2019-09-30,5244905000,158334000,"Q3","2019","ucan",2621250000,67114000,13.08,4.79973804563331,0.921790649764665,4.47284345047924,"4.80%","0.92%","4.47%"
2019-09-30,5244905000,158334000,"Q3","2019","emea",1428040000,47355000,10.4,8.2597281301385,7.06776097130842,2.66535044422507,"8.26%","7.07%","2.67%"
2019-09-30,5244905000,158334000,"Q3","2019","latm",741434000,29380000,8.63,9.49558138985374,5.34241663678738,6.01965601965602,"9.50%","5.34%","6.02%"
2019-09-30,5244905000,158334000,"Q3","2019","apac",382304000,14485000,9.29,9.38785787452717,11.9224231185288,0,"9.39%","11.92%","0.00%"
2019-12-31,5467434000,167090000,"Q4","2019","ucan",2671908000,67662000,13.22,1.93258941344778,0.8165211431296,1.07033639143731,"1.93%","0.82%","1.07%"
2019-12-31,5467434000,167090000,"Q4","2019","emea",1562561000,51778000,10.51,9.41997423041371,9.34009080350544,1.0576923076923,"9.42%","9.34%","1.06%"
2019-12-31,5467434000,167090000,"Q4","2019","latm",746392000,31417000,8.18,0.668704159776865,6.93328795098707,-5.21436848203941,"0.67%","6.93%","-5.21%"
2019-12-31,5467434000,167090000,"Q4","2019","apac",418121000,16233000,9.07,9.36872227337407,12.0676561960649,-2.36813778256188,"9.37%","12.07%","-2.37%"
2020-03-31,5767691000,182856000,"Q1","2020","ucan",2702776000,69969000,13.09,1.15527929853872,3.40959475037687,-0.983358547655074,"1.16%","3.41%","-0.98%"
2020-03-31,5767691000,182856000,"Q1","2020","emea",1723474000,58734000,10.4,10.2980299649102,13.4342771061068,-1.04662226450999,"10.30%","13.43%","-1.05%"
2020-03-31,5767691000,182856000,"Q1","2020","latm",793453000,34318000,8.05,6.30513188780158,9.23385428271318,-1.58924205378972,"6.31%","9.23%","-1.59%"
2020-03-31,5767691000,182856000,"Q1","2020","apac",483660000,19835000,8.94,15.6746492044169,22.1893673381384,-1.43329658213893,"15.67%","22.19%","-1.43%"
2020-06-30,6148286000,192947000,"Q2","2020","ucan",2839670000,72904000,13.25,5.06494063880988,4.19471480226958,1.22230710466005,"5.06%","4.19%","1.22%"
2020-06-30,6148286000,192947000,"Q2","2020","emea",1892537000,61483000,10.5,9.80943141584961,4.68042360472639,0.961538461538458,"9.81%","4.68%","0.96%"
2020-06-30,6148286000,192947000,"Q2","2020","latm",785368000,36068000,7.44,-1.01896394619467,5.09936476484644,-7.5776397515528,"-1.02%","5.10%","-7.58%"
2020-06-30,6148286000,192947000,"Q2","2020","apac",569140000,22492000,8.96,17.6735723442087,13.3955129821023,0.223713646532454,"17.67%","13.40%","0.22%"
2020-09-30,6435637000,195151000,"Q3","2020","ucan",2933445000,73081000,13.4,3.30232034003951,0.242785032371338,1.13207547169812,"3.30%","0.24%","1.13%"
2020-09-30,6435637000,195151000,"Q3","2020","emea",2019083000,62242000,10.88,6.6865799717522,1.23448758193322,3.61904761904763,"6.69%","1.23%","3.62%"
2020-09-30,6435637000,195151000,"Q3","2020","latm",789384000,36324000,7.27,0.511352639781606,0.709770433625374,-2.28494623655915,"0.51%","0.71%","-2.28%"
2020-09-30,6435637000,195151000,"Q3","2020","apac",634891000,23504000,9.2,11.5526935376182,4.49937755646452,2.67857142857141,"11.55%","4.50%","2.68%"
2020-12-31,6644442000,203663000,"Q4","2020","ucan",2979505000,73936000,13.51,1.57016749930542,1.16993472995717,0.820895522388056,"1.57%","1.17%","0.82%"
2020-12-31,6644442000,203663000,"Q4","2020","emea",2137158000,66698000,11.05,5.84795176820368,7.15915298351595,1.5625,"5.85%","7.16%","1.56%"
2020-12-31,6644442000,203663000,"Q4","2020","latm",788522000,37537000,7.12,-0.10919907168121,3.33938993502918,-2.06327372764786,"-0.11%","3.34%","-2.06%"
2020-12-31,6644442000,203663000,"Q4","2020","apac",684609000,25492000,9.32,7.83095050961504,8.45813478556841,1.30434782608697,"7.83%","8.46%","1.30%"
2021-03-31,7163282000,207639000,"Q1","2021","ucan",3170972000,74384000,14.25,6.42613454248273,0.605929452499459,5.47742413027387,"6.43%","0.61%","5.48%"
2021-03-31,7163282000,207639000,"Q1","2021","emea",2343674000,68508000,11.56,9.66311334959792,2.71372454946175,4.61538461538461,"9.66%","2.71%","4.62%"
